ResponseId,group,analytical,affective,trial_og,dec_og,pea_og,auto.correct,block,trial_type,trial_order,pilot.acc,acc,rely,bt,negative,positive,trust,propensity,trust_centered,affective_num,analytical_num
exp1p64,an-low_af-low,an-low,af-low,x01,Use AWD decision,NA,n,0,x,9,0.35483871,0,1,0,0.2,0.6,2,3.16666666666667,-0.424359,1,1
exp1p50,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,5,0.35483871,0,0,0,0.6,1,2.66666666666667,3.33333333333333,0.242307666666667,1,1
exp1p13,an-low_af-low,an-low,af-low,x01,Check (contraband present),NA,n,0,x,2,0.35483871,1,0,0,0.4,0.8,2.33333333333333,3,-0.0910256666666664,1,1
exp1p48,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,12,0.35483871,0,0,0,1.8,1.2,2.5,2.33333333333333,0.0756410000000001,1,1
exp1p47,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,14,0.35483871,0,0,0,0.4,2.8,3.5,2.66666666666667,1.075641,1,1
exp1p58,an-low_af-low,an-low,af-low,x01,Use AWD decision,NA,n,0,x,6,0.35483871,0,1,0,0,0.6,1.66666666666667,1.5,-0.757692333333333,1,1
exp1p23,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,13,0.35483871,0,0,0,0,0.4,2,2.16666666666667,-0.424359,1,1
exp1p60,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,14,0.35483871,0,0,0,0,2.4,2.66666666666667,3.5,0.242307666666667,1,1
exp1p56,an-low_af-low,an-low,af-low,x01,Check (contraband present),NA,n,0,x,7,0.35483871,1,0,0,0,0.4,2.83333333333333,2.83333333333333,0.408974333333334,1,1
exp1p52,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,8,0.35483871,0,0,0,0.2,0.8,2.66666666666667,2.5,0.242307666666667,1,1
exp1p61,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,10,0.35483871,0,0,0,0.2,1.2,3.33333333333333,3.5,0.908974333333334,1,1
exp1p40,an-low_af-low,an-low,af-low,x01,Check (contraband present),NA,n,0,x,15,0.35483871,1,0,0,2,2.8,0,2.33333333333333,-2.424359,1,1
exp1p17,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,4,0.35483871,0,0,0,0,1,3.5,3.66666666666667,1.075641,1,1
exp1p5,an-low_af-low,an-low,af-low,x01,Clear (NO contraband present),NA,n,0,x,10,0.35483871,0,0,0,1.4,1.4,4,2.33333333333333,1.575641,1,1
exp1p7,an-low_af-low,an-low,af-low,x01,Check (contraband present),NA,n,0,x,3,0.35483871,1,0,0,0.2,1.6,2,2,-0.424359,1,1
exp1p30,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,11,0.35483871,0,0,0,0,1.6,2,3.16666666666667,-0.424359,0,1
exp1p11,an-low_af-high,an-low,af-high,x01,Check (contraband present),NA,n,0,x,9,0.35483871,1,0,0,2.6,1.8,1.83333333333333,1.66666666666667,-0.591025666666667,0,1
exp1p1,an-low_af-high,an-low,af-high,x01,Use AWD decision,NA,n,0,x,1,0.35483871,0,1,0,0.2,0.6,2,2.33333333333333,-0.424359,0,1
exp1p34,an-low_af-high,an-low,af-high,x01,Use AWD decision,NA,n,0,x,14,0.35483871,0,1,0,0,1.2,3,2.33333333333333,0.575641,0,1
exp1p18,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,11,0.35483871,0,0,0,1.4,2.2,0.666666666666667,3,-1.75769233333333,0,1
exp1p37,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,6,0.35483871,0,0,0,0,0.2,1.66666666666667,2.33333333333333,-0.757692333333333,0,1
exp1p59,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,15,0.35483871,0,0,0,1.4,1.6,2.5,2.16666666666667,0.0756410000000001,0,1
exp1p6,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,4,0.35483871,0,0,0,0.4,3.2,1.16666666666667,2.33333333333333,-1.25769233333333,0,1
exp1p54,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,14,0.35483871,0,0,0,0.2,1.8,2.83333333333333,2.33333333333333,0.408974333333334,0,1
exp1p24,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,12,0.35483871,0,0,0,0,2.6,2.66666666666667,2,0.242307666666667,0,1
exp1p55,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,2,0.35483871,0,0,0,3,0.6,3,2.33333333333333,0.575641,0,1
exp1p16,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,12,0.35483871,0,0,0,0,0.6,3,2.16666666666667,0.575641,0,1
exp1p31,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,8,0.35483871,0,0,0,2,1,3,2.5,0.575641,0,1
exp1p63,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,9,0.35483871,0,0,0,0,2,1,2.33333333333333,-1.424359,0,1
exp1p38,an-low_af-high,an-low,af-high,x01,Check (contraband present),NA,n,0,x,13,0.35483871,1,0,0,4,0.8,1.5,2.33333333333333,-0.924359,0,1
exp1p2,an-low_af-high,an-low,af-high,x01,Clear (NO contraband present),NA,n,0,x,5,0.35483871,0,0,0,1.2,1.4,2.66666666666667,2.66666666666667,0.242307666666667,0,1
exp1p21,an-low_af-high,an-low,af-high,x01,Check (contraband present),NA,n,0,x,8,0.35483871,1,0,0,3,1.2,4,2.33333333333333,1.575641,0,1
exp1p33,an-low_af-high,an-low,af-high,x01,Use AWD decision,NA,n,0,x,13,0.35483871,0,1,0,1.6,0.4,3,3,0.575641,0,1
exp1p20,an-high_af-low,an-high,af-low,x01,Clear (NO contraband present),NA,n,0,x,11,0.35483871,0,0,0,0,1,2,2.5,-0.424359,1,0
exp1p32,an-high_af-low,an-high,af-low,x01,Clear (NO contraband present),NA,n,0,x,10,0.35483871,0,0,0,0,3,3,2.16666666666667,0.575641,1,0
exp1p41,an-high_af-low,an-high,af-low,x01,Clear (NO contraband present),NA,n,0,x,6,0.35483871,0,0,0,0,1.2,3,3,0.575641,1,0
exp1p43,an-high_af-low,an-high,af-low,x01,Use AWD decision,NA,n,0,x,8,0.35483871,0,1,0,2.6,3.2,2.83333333333333,2,0.408974333333334,1,0
exp1p4,an-high_af-low,an-high,af-low,x01,Check (contraband present),NA,n,0,x,1,0.35483871,1,0,0,3.2,3,2.83333333333333,2.5,0.408974333333334,1,0
exp1p35,an-high_af-low,an-high,af-low,x01,Check (contraband present),NA,n,0,x,13,0.35483871,1,0,0,0,2.6,3,2.83333333333333,0.575641,1,0
exp1p44,an-high_af-low,an-high,af-low,x01,Clear (NO contraband present),NA,n,0,x,3,0.35483871,0,0,0,2.2,2.6,2.5,2.16666666666667,0.0756410000000001,1,0
exp1p57,an-high_af-low,an-high,af-low,x01,Use AWD decision,NA,n,0,x,15,0.35483871,0,1,0,0,1.8,2.5,2.66666666666667,0.0756410000000001,1,0
exp1p49,an-high_af-low,an-high,af-low,x01,Check (contraband present),NA,n,0,x,10,0.35483871,1,0,0,0.4,2.2,2.66666666666667,2.83333333333333,0.242307666666667,1,0
