id,mTurkcode,trial_og,rel_og,dec_og,auto.correct,block,trial_type,pilot_acc,rel,acc,autotype,negative,positive,group,auto,affective,analytical,trust,propensity,age,gender
exp2p34,6,x01,View again with AWD  (10% point cost),Clear (NO contraband present),n,0,x,0.35483871,1,0,a,0.4,1.2,A_Fear_Lo,A,Fear,Lo,2.66666666666667,3.33333333333333,31,Male
exp2p124,5,x01,View again with AWD  (10% point cost),Clear (NO contraband present),n,0,x,0.35483871,1,0,a,0.2,2.6,A_Fear_Hi,A,Fear,Hi,3,2.16666666666667,36,Male
exp2p63,5,x01,View again without automation,Clear (NO contraband present),n,0,x,0.35483871,0,0,a,0,0.8,A_Fear_Hi,A,Fear,Hi,3,3.66666666666667,35,Female
exp2p93,6,x01,View again without automation,Check (contraband present),n,0,x,0.35483871,0,1,a,0,1.2,A_Fear_Lo,A,Fear,Lo,2.33333333333333,2.66666666666667,66,Female
exp2p11,5,x01,View again without automation,Clear (NO contraband present),n,0,x,0.35483871,0,0,a,2.6,2,A_Fear_Hi,A,Fear,Hi,2.66666666666667,2.16666666666667,35,Female
exp2p107,6,x01,View again without automation,Clear (NO contraband present),n,0,x,0.35483871,0,0,a,0.8,1.2,A_Fear_Lo,A,Fear,Lo,3,2.33333333333333,57,Female
exp2p19,6,x01,View again without automation,Clear (NO contraband present),n,0,x,0.35483871,0,0,a,4,0.8,A_Fear_Lo,A,Fear,Lo,3.16666666666667,2.16666666666667,28,Female
exp2p102,5,x01,View again without automation,Clear (NO contraband present),n,0,x,0.35483871,0,0,a,2,2.6,A_Fear_Hi,A,Fear,Hi,2.16666666666667,3.33333333333333,39,Male
exp2p101,6,x01,View again with AWD  (10% point cost),Clear (NO contraband present),n,0,x,0.35483871,1,0,a,0,1,A_Fear_Lo,A,Fear,Lo,3,2,38,Male
exp2p70,6,x01,View again without automation,Clear (NO contraband present),n,0,x,0.35483871,0,0,a,0.4,3,A_Fear_Lo,A,Fear,Lo,2.66666666666667,3,41,Female
exp2p136,5,x01,View again without automation,Check (contraband present),n,0,x,0.35483871,0,1,a,3.6,2.6,A_Fear_Hi,A,Fear,Hi,2.83333333333333,2.16666666666667,39,Female
exp2p104,5,x01,View again without automation,Check (contraband present),n,0,x,0.35483871,0,1,a,2,2.6,A_Fear_Hi,A,Fear,Hi,3.66666666666667,2.33333333333333,55,Female
exp2p17,6,x01,View again with AWD  (10% point cost),Clear (NO contraband present),n,0,x,0.35483871,1,0,a,1.4,1.8,A_Fear_Lo,A,Fear,Lo,3,2,38,Female
exp2p9,5,x01,View again without automation,Clear (NO contraband present),n,0,x,0.35483871,0,0,a,0.6,1.6,A_Fear_Hi,A,Fear,Hi,1.5,3.16666666666667,29,Male
exp2p133,5,x01,View again without automation,Clear (NO contraband present),n,0,x,0.35483871,0,0,a,0,2.2,A_Fear_Hi,A,Fear,Hi,1.33333333333333,3.16666666666667,66,Male
exp2p4,6,x01,View again with AWD  (10% point cost),Clear (NO contraband present),n,0,x,0.35483871,1,0,a,1.2,1.2,A_Fear_Lo,A,Fear,Lo,3,3.16666666666667,41,Female
